Haplo,Lat,Long,Species
cp_Agig,34.25461,-88.704122,A.gigantea
cp_Agig,35.2119,-88.3949,A.gigantea
cp_Agig,35.1234,-81.588,A.gigantea
cp_Agig,36.2421,-92.7667,A.gigantea
cp_Agig,33.970844,-83.485331,A.gigantea
cp_Agig,34.5031,-81.8121,A. hybrid
cp_Haplo1,34.8649,-82.419,A. hybrid
cp_Haplo1,31.999,-81.2682,A.tecta
cp_Haplo1,33.4122,-82.3818,A.tecta
cp_Haplo1,33.646,-81.2143,A.tecta
cp_Haplo1,33.974784,-83.352673,Unknown
cp_Haplo10,34.9576,-83.1806,A.appalachiana
cp_Haplo11,35.1078,-77.0153,A.tecta
cp_Haplo11,36.599,-76.5282,A.tecta
cp_Haplo12,35.5673,-82.5683,A.appalachiana
cp_Haplo12,30.7114,-89.5553,A. hybrid
cp_Haplo12,34.25461,-88.704122,A.tecta
cp_Haplo13,31.4156,-89.2806,A. hybrid
cp_Haplo14,32.5451,-85.3885,A. hybrid
cp_Haplo15,32.5669,-85.3772,A.gigantea
cp_Haplo16,37.627,-89.2087,A.gigantea
cp_Haplo17,34.149,-84.8443,A.gigantea
cp_Haplo18,32.7734,-81.9227,A. hybrid
cp_Haplo19,32.9401,-81.4955,A. hybrid
cp_Haplo2,33.974784,-83.352673,Unknown
cp_Haplo20,34.8649,-82.419,A. hybrid
cp_Haplo20,33.646,-81.2143,A.tecta
cp_Haplo21,34.1586,-81.946,A.gigantea
cp_Haplo21,32.5426,-84.0184,A.gigantea
cp_Haplo21,33.2695,-93.272,A.gigantea
cp_Haplo21,30.8003,-92.281,A.gigantea
cp_Haplo21,35.0775,-85.0394,A.gigantea
cp_Haplo21,35.4337,-83.4388,A.gigantea
cp_Haplo22,35.4469,-83.4251,A.appalachiana
cp_Haplo3,33.974784,-83.352673,Unknown
cp_Haplo4,33.974784,-83.352673,Unknown
cp_Haplo5,33.974784,-83.352673,Unknown
cp_Haplo6,33.974784,-83.352673,Unknown
cp_Haplo7,32.5426,-84.0184,A.gigantea
cp_Haplo7,33.2695,-93.272,A.gigantea
cp_Haplo7,30.8003,-92.281,A.gigantea
cp_Haplo7,35.0775,-85.0394,A.gigantea
cp_Haplo7,34.1586,-81.946,A.gigantea
cp_Haplo7,35.4337,-83.4388,A.gigantea
cp_Haplo8,35.3898,-83.1981,A.appalachiana
cp_Haplo8,35.0421,-84.4514,A.appalachiana
cp_Haplo8,34.2456,-84.6753,A.appalachiana
cp_Haplo8,35.3827,-83.8623,A.appalachiana
cp_Haplo8,35.7418,-84.8392,A.appalachiana
cp_Haplo8,32.4894,-83.9378,A. hybrid
cp_Haplo9,35.0168,-83.3882,A.appalachiana
LFY_Haplo1,33.7116,-83.3033,A. hybrid
LFY_Haplo1,32.7734,-81.9227,A. hybrid
LFY_Haplo1,33.974784,-83.352673,Unknown
LFY_Haplo10,33.974784,-83.352673,Unknown
LFY_Haplo11,33.974784,-83.352673,Unknown
LFY_Haplo12,33.974784,-83.352673,Unknown
LFY_Haplo13,33.974784,-83.352673,Unknown
LFY_Haplo14,33.974784,-83.352673,Unknown
LFY_Haplo15,33.974784,-83.352673,Unknown
LFY_Haplo16,33.974784,-83.352673,Unknown
LFY_Haplo17,33.974784,-83.352673,Unknown
LFY_Haplo18,33.974784,-83.352673,Unknown
LFY_Haplo19,33.974784,-83.352673,Unknown
LFY_Haplo2,33.974784,-83.352673,Unknown
LFY_Haplo20,33.974784,-83.352673,Unknown
LFY_Haplo21,33.974784,-83.352673,Unknown
LFY_Haplo22,33.974784,-83.352673,Unknown
LFY_Haplo23,33.974784,-83.352673,Unknown
LFY_Haplo24,33.974784,-83.352673,Unknown
LFY_Haplo25,33.974784,-83.352673,Unknown
LFY_Haplo26,33.974784,-83.352673,Unknown
LFY_Haplo27,33.7116,-83.3033,A. hybrid
LFY_Haplo27,32.7734,-81.9227,A. hybrid
LFY_Haplo27,33.974784,-83.352673,Unknown
LFY_Haplo28,33.974784,-83.352673,Unknown
LFY_Haplo29,33.974784,-83.352673,Unknown
LFY_Haplo3,33.974784,-83.352673,Unknown
LFY_Haplo30,33.974784,-83.352673,Unknown
LFY_Haplo31,33.974784,-83.352673,Unknown
LFY_Haplo32,33.974784,-83.352673,Unknown
LFY_Haplo33,33.974784,-83.352673,Unknown
LFY_Haplo34,33.974784,-83.352673,Unknown
LFY_Haplo35,33.974784,-83.352673,Unknown
LFY_Haplo36,33.974784,-83.352673,Unknown
LFY_Haplo37,32.5426,-84.0184,A.gigantea
LFY_Haplo38,32.5426,-84.0184,A.gigantea
LFY_Haplo39,32.4894,-83.9378,A. hybrid
LFY_Haplo4,33.974784,-83.352673,Unknown
LFY_Haplo40,32.4894,-83.9378,A. hybrid
LFY_Haplo41,35.0168,-83.3882,A.appalachiana
LFY_Haplo41,35.0421,-84.4514,A.appalachiana
LFY_Haplo41,36.599,-76.5282,A.tecta
LFY_Haplo41,33.4122,-82.3818,A.tecta
LFY_Haplo42,34.9576,-83.1806,A.appalachiana
LFY_Haplo42,35.3898,-83.1981,A.appalachiana
LFY_Haplo42,34.2456,-84.6753,A.appalachiana
LFY_Haplo43,35.1078,-77.0153,A.tecta
LFY_Haplo44,35.1078,-77.0153,A.tecta
LFY_Haplo45,31.999,-81.2682,A.tecta
LFY_Haplo46,31.999,-81.2682,A.tecta
LFY_Haplo47,33.2695,-93.272,A.gigantea
LFY_Haplo47,35.0775,-85.0394,A.gigantea
LFY_Haplo48,33.2695,-93.272,A.gigantea
LFY_Haplo49,30.8003,-92.281,A.gigantea
LFY_Haplo49,33.970844,-83.485331,A.gigantea
LFY_Haplo5,33.974784,-83.352673,Unknown
LFY_Haplo50,30.8003,-92.281,A.gigantea
LFY_Haplo51,30.7114,-89.5553,A. hybrid
LFY_Haplo52,30.7114,-89.5553,A. hybrid
LFY_Haplo53,31.4156,-89.2806,A. hybrid
LFY_Haplo53,32.9401,-81.4955,A. hybrid
LFY_Haplo54,32.5451,-85.3885,A. hybrid
LFY_Haplo55,32.5451,-85.3885,A. hybrid
LFY_Haplo56,32.5669,-85.3772,A.gigantea
LFY_Haplo56,37.627,-89.2087,A.gigantea
LFY_Haplo57,32.5669,-85.3772,A.gigantea
LFY_Haplo58,37.627,-89.2087,A.gigantea
LFY_Haplo59,35.2119,-88.3949,A.gigantea
LFY_Haplo6,33.974784,-83.352673,Unknown
LFY_Haplo60,35.2119,-88.3949,A.gigantea
LFY_Haplo61,35.0775,-85.0394,A.gigantea
LFY_Haplo62,35.0421,-84.4514,A.appalachiana
LFY_Haplo63,34.149,-84.8443,A.gigantea
LFY_Haplo63,33.970844,-83.485331,A.gigantea
LFY_Haplo64,34.149,-84.8443,A.gigantea
LFY_Haplo65,33.646,-81.2143,A.tecta
LFY_Haplo66,33.646,-81.2143,A.tecta
LFY_Haplo67,34.1586,-81.946,A.gigantea
LFY_Haplo68,34.5031,-81.8121,A. hybrid
LFY_Haplo69,34.5031,-81.8121,A. hybrid
LFY_Haplo7,33.974784,-83.352673,Unknown
LFY_Haplo70,35.1234,-81.588,A.gigantea
LFY_Haplo71,34.8649,-82.419,A. hybrid
LFY_Haplo72,34.8649,-82.419,A. hybrid
LFY_Haplo73,35.0851,-82.608,A.appalachiana
LFY_Haplo73,35.5673,-82.5683,A.appalachiana
LFY_Haplo74,35.0851,-82.608,A.appalachiana
LFY_Haplo75,36.2421,-92.7667,A.gigantea
LFY_Haplo75,33.970844,-83.485331,A.gigantea
LFY_Haplo76,36.2421,-92.7667,A.gigantea
LFY_Haplo77,35.5673,-82.5683,A.appalachiana
LFY_Haplo78,35.4337,-83.4388,A.gigantea
LFY_Haplo79,35.4337,-83.4388,A.gigantea
LFY_Haplo8,33.974784,-83.352673,Unknown
LFY_Haplo80,35.4469,-83.4251,A.appalachiana
LFY_Haplo81,35.4469,-83.4251,A.appalachiana
LFY_Haplo82,35.3827,-83.8623,A.appalachiana
LFY_Haplo83,35.7418,-84.8392,A.appalachiana
LFY_Haplo84,33.970844,-83.485331,A.gigantea
LFY_Haplo85,33.970844,-83.485331,A.gigantea
LFY_Haplo86,33.970844,-83.485331,A.gigantea
LFY_Haplo87,33.970844,-83.485331,A.gigantea
LFY_Haplo88,33.970844,-83.485331,A.gigantea
LFY_Haplo89,34.25461,-88.704122,A.tecta
LFY_Haplo9,33.974784,-83.352673,Unknown
LFY_Haplo90,34.25461,-88.704122,A.tecta
LFY_Haplo91,34.25461,-88.704122,A.gigantea
LFY_Haplo92,34.25461,-88.704122,A.gigantea
WXY_Atecta,32.9401,-81.4955,A. hybrid
WXY_Atecta,31.4156,-89.2806,A. hybrid
WXY_Atecta,33.4122,-82.3818,A.tecta
WXY_Haplo1,34.25461,-88.704122,A.gigantea
WXY_Haplo1,35.0775,-85.0394,A.gigantea
WXY_Haplo1,35.1234,-81.588,A.gigantea
WXY_Haplo1,33.970844,-83.485331,A.gigantea
WXY_Haplo1,33.7116,-83.3033,A. hybrid
WXY_Haplo1,32.7734,-81.9227,A. hybrid
WXY_Haplo1,34.5031,-81.8121,A. hybrid
WXY_Haplo1,34.8649,-82.419,A. hybrid
WXY_Haplo10,35.0851,-82.608,A.appalachiana
WXY_Haplo10,35.5673,-82.5683,A.appalachiana
WXY_Haplo10,35.4469,-83.4251,A.appalachiana
WXY_Haplo10,35.3827,-83.8623,A.appalachiana
WXY_Haplo10,35.0168,-83.3882,A.appalachiana
WXY_Haplo10,34.9576,-83.1806,A.appalachiana
WXY_Haplo10,35.3898,-83.1981,A.appalachiana
WXY_Haplo10,34.25461,-88.704122,A.tecta
WXY_Haplo11,35.7418,-84.8392,A.appalachiana
WXY_Haplo12,34.9576,-83.1806,A.appalachiana
WXY_Haplo13,30.7114,-89.5553,A. hybrid
WXY_Haplo13,34.25461,-88.704122,A.tecta
WXY_Haplo14,32.4894,-83.9378,A. hybrid
WXY_Haplo15,35.5673,-82.5683,A.appalachiana
WXY_Haplo16,32.4894,-83.9378,A. hybrid
WXY_Haplo17,35.0421,-84.4514,A.appalachiana
WXY_Haplo18,34.2456,-84.6753,A.appalachiana
WXY_Haplo19,35.3827,-83.8623,A.appalachiana
WXY_Haplo19,33.7116,-83.3033,A. hybrid
WXY_Haplo19,32.7734,-81.9227,A. hybrid
WXY_Haplo2,37.627,-89.2087,A.gigantea
WXY_Haplo2,34.149,-84.8443,A.gigantea
WXY_Haplo2,34.1586,-81.946,A.gigantea
WXY_Haplo2,35.4337,-83.4388,A.gigantea
WXY_Haplo2,33.2695,-93.272,A.gigantea
WXY_Haplo2,30.8003,-92.281,A.gigantea
WXY_Haplo2,32.5669,-85.3772,A.gigantea
WXY_Haplo2,33.974784,-83.352673,Unknown
WXY_Haplo20,34.8649,-82.419,A. hybrid
WXY_Haplo21,36.599,-76.5282,A.tecta
WXY_Haplo22,32.5451,-85.3885,A. hybrid
WXY_Haplo23,31.999,-81.2682,A.tecta
WXY_Haplo24,34.5031,-81.8121,A. hybrid
WXY_Haplo3,35.2119,-88.3949,A.gigantea
WXY_Haplo3,32.5426,-84.0184,A.gigantea
WXY_Haplo3,36.2421,-92.7667,A.gigantea
WXY_Haplo3,33.970844,-83.485331,A.gigantea
WXY_Haplo4,33.974784,-83.352673,Unknown
WXY_Haplo5,33.974784,-83.352673,Unknown
WXY_Haplo6,35.1078,-77.0153,A.tecta
WXY_Haplo6,33.974784,-83.352673,Unknown
WXY_Haplo7,33.646,-81.2143,A.tecta
WXY_Haplo8,31.999,-81.2682,A.tecta
WXY_Haplo9,33.974784,-83.352673,Unknown
